Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price,Avg Close,Avg Open
968.75,1010.0,961.37,996.121,1478.19066168,1465463.38685,991.389963989,5437.992746913579,5422.111800411522
999.497,1034.931,997.02,1017.791,2307.09531837,2344982.28616,1016.42193432,5437.992746913579,5422.111800411522
1019.997,1039.838,1010.0,1038.25,1669.60575573,1707734.60356,1022.83703665,5437.992746913579,5422.111800411522
1039.309,1150.0,997.23,1133.219,5566.10435777,6092681.21668,1094.60420162,5437.992746913579,5422.111800411522
1133.219,1156.9,879.01,1005.99,8500.09326664,8598197.28266,1011.5415223,5437.992746913579,5422.111800411522
1004.41,1059.196,868.384,895.723,5748.61784691,5367624.2391,933.724311138,5437.992746913579,5422.111800411522
898.43,912.668,804.0,908.0,5257.78151447,4542122.70796,863.885784424,5437.992746913579,5422.111800411522
912.654,939.998,890.0,916.939,1997.57454164,1831407.11701,916.815407301,5437.992746913579,5422.111800411522
913.121,916.829,878.0,905.01,1317.28617545,1180508.05477,896.166737925,5437.992746913579,5422.111800411522
905.062,916.687,898.1,909.517,1198.19989441,1089255.78682,909.076850954,5437.992746913579,5422.111800411522
909.999,924.59,765.432,789.884,9817.79889829,8069155.46669,821.890481796,5437.992746913579,5422.111800411522
783.0,837.999,756.001,807.794,4234.77053364,3363647.61982,794.292770553,5437.992746913579,5422.111800411522
809.979,839.0,776.81,832.9,2988.12239941,2422536.60449,810.722012246,5437.992746913579,5422.111800411522
834.0,846.946,811.0,818.651,1682.15476394,1400387.20573,832.496055505,5437.992746913579,5422.111800411522
821.559,833.0,811.93,827.139,1182.96094483,970940.773692,820.771622204,5437.992746913579,5422.111800411522
825.951,840.6,822.145,832.806,1343.44034216,1119135.08427,833.036681382,5437.992746913579,5422.111800411522
834.634,920.0,832.98,906.393,4616.87770626,4096050.64916,887.190631801,5437.992746913579,5422.111800411522
909.27,917.0,852.111,892.311,3303.90896033,2930865.54861,887.090287233,5437.992746913579,5422.111800411522
892.402,909.0,888.0,900.11,2525.66719507,2269988.776,898.767969282,5437.992746913579,5422.111800411522
900.238,907.104,885.0,898.619,1625.59362644,1460085.26544,898.185894491,5437.992746913579,5422.111800411522
896.589,928.081,896.082,925.298,2087.00090821,1915209.55708,917.685061633,5437.992746913579,5422.111800411522
925.298,939.91,888.0,925.01,1996.77028969,1838141.61937,920.557376512,5437.992746913579,5422.111800411522
925.27,929.92,912.622,917.968,1195.20769588,1102593.66781,922.512188981,5437.992746913579,5422.111800411522
917.72,930.0,882.576,887.985,3501.54969645,3163133.81882,903.352541883,5437.992746913579,5422.111800411522
885.71,903.325,885.694,896.89,1274.42905475,1139977.92419,894.50089037,5437.992746913579,5422.111800411522
896.89,921.78,895.543,914.926,1179.80109759,1073304.84217,909.733720682,5437.992746913579,5422.111800411522
915.79,925.0,910.0,922.299,1444.89926494,1327055.9984,918.441880758,5437.992746913579,5422.111800411522
921.45,923.63,917.01,918.359,726.58837968,668987.108428,920.723654737,5437.992746913579,5422.111800411522
920.749,923.76,915.702,915.702,599.44860244,550462.615205,918.281589054,5437.992746913579,5422.111800411522
916.0,925.0,915.0,920.58,1286.16258232,1184147.15562,920.682324225,5437.992746913579,5422.111800411522
920.63,974.969,919.002,969.739,3305.75546659,3143200.87002,950.826793387,5437.992746913579,5422.111800411522
968.166,990.0,964.989,988.789,2383.45897765,2327683.75552,976.599042545,5437.992746913579,5422.111800411522
988.79,1013.991,975.975,1009.996,2584.64485371,2579797.12704,998.124412851,5437.992746913579,5422.111800411522
1008.22,1037.519,981.761,1015.21,3197.93549583,3239948.62853,1013.13757978,5437.992746913579,5422.111800411522
1016.291,1046.501,1001.796,1029.393,1805.75453962,1848634.91705,1023.74651509,5437.992746913579,5422.111800411522
1032.364,1036.0,1005.4,1017.886,1148.18621798,1169751.73356,1018.78224564,5437.992746913579,5422.111800411522
1015.35,1029.91,1013.75,1027.01,808.938483,828904.409745,1024.68163793,5437.992746913579,5422.111800411522
1028.45,1055.0,1023.823,1050.998,1958.67703779,2045431.1719,1044.29220971,5437.992746913579,5422.111800411522
1054.214,1069.91,1025.4,1055.838,2968.71043459,3118006.95299,1050.2900238,5437.992746913579,5422.111800411522
1053.497,1079.91,940.006,988.38,6762.98804082,6714456.82363,992.823997781,5437.992746913579,5422.111800411522
987.431,1010.0,948.208,1002.726,2778.28262031,2717341.80312,978.065292299,5437.992746913579,5422.111800411522
998.824,1018.488,993.001,1011.004,1312.08252437,1323113.93129,1008.40755571,5437.992746913579,5422.111800411522
1010.599,1013.695,999.0,1001.017,825.83598941,830305.8127,1005.41248304,5437.992746913579,5422.111800411522
1001.033,1010.0,982.01,996.391,1314.36198067,1309698.79176,996.452127363,5437.992746913579,5422.111800411522
999.028,1025.0,992.094,1016.472,1851.33238405,1871598.59397,1010.94682408,5437.992746913579,5422.111800411522
1015.05,1020.0,1001.302,1015.75,1248.51939878,1266122.09046,1014.09885316,5437.992746913579,5422.111800411522
1016.739,1047.43,1015.75,1039.872,1918.29736767,1982631.64263,1033.53717523,5437.992746913579,5422.111800411522
1038.502,1063.923,1035.998,1052.065,2165.19887736,2272972.94292,1049.77559645,5437.992746913579,5422.111800411522
1052.0,1069.794,1051.0,1058.909,1467.38918303,1559070.23996,1062.47903282,5437.992746913579,5422.111800411522
1058.88,1063.0,1042.952,1055.61,520.15179874,548008.164625,1053.55430079,5437.992746913579,5422.111800411522
1055.588,1093.327,1045.471,1088.68,1440.87051755,1536195.62596,1066.15799772,5437.992746913579,5422.111800411522
